ID,Date,Furnace,Difference Phase 1 (Real - Target),Difference Phase 2,Difference Phase 3,Difference Phase 4,Difference Phase 5,Delay Time,Dureza,Dureza PC
342,20/08/24,2,148,127,173,-26,-26,11,3,3
343,20/08/24,2,168,-110,68,-36,-19,111,3,3
344,20/08/24,1,12,-4,51,29,-55,69,3,3
345,20/08/24,1,518,234,195,9,-17,114,0,3
346,20/08/24,2,122,196,-193,-26,14,117,3,3
347,20/08/24,2,430,-226,39,-108,-19,21,3,3
348,20/08/24,2,400,58,207,-18,-29,4,3,3
349,20/08/24,1,345,-180,-52,-19,0,7,3,3
350,20/08/24,1,452,59,-100,-2,-42,76,3,3
351,20/08/24,1,47,156,180,35,-15,15,3,3
352,20/08/24,2,216,66,-84,-77,6,69,3,3
353,20/08/24,2,294,-63,130,-25,35,22,3,3
354,20/08/24,2,450,58,-201,-123,44,28,3,3
355,19/08/24,2,-84,221,-23,41,-5,9,3,3
356,19/08/24,1,39,254,-59,-16,-1,117,3,3
357,19/08/24,1,-36,2,169,9,-45,103,3,3
358,19/08/24,2,446,105,33,-58,40,59,3,3
359,19/08/24,2,385,-88,-119,-11,5,72,3,3
360,19/08/24,2,-153,37,54,12,39,105,3,3
361,19/08/24,1,163,276,184,49,9,106,3,3
362,19/08/24,2,-13,-208,97,-22,-17,76,1,3
363,19/08/24,1,578,339,-226,-31,-2,106,0,3
364,19/08/24,2,156,-185,51,-4,11,91,0,3
365,19/08/24,1,350,-116,-26,-127,40,111,0,3
366,19/08/24,1,-146,-111,-69,-90,-37,22,0,3
367,19/08/24,1,526,199,-177,-34,-39,97,0,3
368,19/08/24,1,606,146,-25,32,-27,42,0,3
369,19/08/24,2,356,315,-45,-83,-46,22,0,3
370,19/08/24,2,55,-103,-241,-13,29,116,0,3
371,19/08/24,1,5,462,138,-116,-53,85,0,3
372,19/08/24,1,245,-67,-167,-17,-35,85,0,3
373,19/08/24,1,-20,237,41,-123,-2,56,0,3
374,19/08/24,1,387,459,206,-2,11,95,0,3
375,19/08/24,2,63,315,228,33,-50,105,0,3
376,19/08/24,1,-63,-105,106,-44,38,11,0,3
377,19/08/24,1,501,339,-253,-78,-40,47,0,3
378,19/08/24,1,306,24,-195,-113,0,38,0,3
379,19/08/24,2,350,374,164,-126,-22,65,0,3
380,19/08/24,1,232,22,-11,-126,-31,72,0,3
381,19/08/24,1,236,-130,49,-19,15,38,0,3
382,19/08/24,1,181,-193,-170,7,27,50,0,0
383,19/08/24,2,-144,331,99,35,13,105,0,0
384,19/08/24,1,284,311,-163,-93,44,4,3,0
385,19/08/24,2,207,58,-6,9,43,75,3,0
386,19/08/24,2,389,37,203,22,31,114,3,0
387,19/08/24,1,-59,9,-36,49,-47,12,2,0
388,19/08/24,2,333,339,223,50,-55,117,3,0
389,19/08/24,2,16,173,-195,-120,12,68,2,0
390,19/08/24,2,261,101,-144,14,33,88,2,0
391,19/08/24,2,-17,253,-152,-65,-1,38,2,0
392,19/08/24,2,89,483,16,-74,-3,18,2,0
393,19/08/24,2,-54,-209,-189,-52,6,61,2,0
394,19/08/24,1,454,7,71,-63,26,13,2,0
395,19/08/24,1,100,60,77,-39,-35,96,3,0
396,19/08/24,1,564,-169,168,-45,15,4,3,0
397,19/08/24,2,-44,466,-61,-34,-34,103,3,0
398,19/08/24,2,567,287,-152,-35,-50,86,3,0
399,19/08/24,2,9,-46,-68,-90,6,88,3,0
400,19/08/24,2,-153,224,-45,-56,24,91,3,0
401,19/08/24,1,12,-71,-45,-43,35,9,3,0
402,19/08/24,2,54,334,-95,-45,24,46,3,0
403,19/08/24,2,405,153,157,-1,-9,59,3,0
404,19/08/24,1,-94,242,167,-70,-42,86,3,0
405,19/08/24,1,-42,164,124,-14,-37,83,3,0
406,19/08/24,1,334,-163,-252,28,-31,89,3,0
407,19/08/24,2,137,207,106,-109,-40,82,3,0
408,19/08/24,2,582,186,43,45,6,1,3,0
409,19/08/24,2,123,263,72,-71,-10,103,3,0
410,19/08/24,1,155,-129,-101,52,28,56,3,0
411,19/08/24,1,189,106,23,-95,-55,77,3,0
412,19/08/24,1,78,279,-68,-63,-7,56,1,0
413,19/08/24,2,174,430,229,-16,41,62,1,0
414,19/08/24,1,421,-56,-23,-23,42,26,1,3
415,19/08/24,2,339,423,-229,-97,-49,100,1,1
416,19/08/24,1,191,-32,190,-45,25,6,1,2
417,19/08/24,1,409,303,-159,-17,5,16,1,2
418,19/08/24,1,-41,-191,46,-128,-33,56,1,2
419,19/08/24,2,93,178,-228,32,-32,93,1,2
420,19/08/24,1,435,-179,30,-73,8,94,1,2
421,19/08/24,2,-77,346,111,-127,25,56,1,2
422,19/08/24,2,387,-75,75,-80,24,99,1,2
423,19/08/24,1,-8,201,102,-113,-10,78,1,2
424,19/08/24,1,118,291,48,-40,-20,68,1,3
425,19/08/24,1,161,197,191,29,-15,88,1,3
426,19/08/24,1,610,480,-77,34,-21,112,1,3
427,19/08/24,2,540,178,166,-87,27,23,1,3
428,19/08/24,1,83,415,-251,-52,-33,69,1,3
429,19/08/24,2,590,-2,-184,-73,43,55,1,3
430,19/08/24,2,159,233,69,-108,15,13,1,3
431,19/08/24,2,110,1,-202,2,33,79,1,1
432,19/08/24,2,586,434,-90,-28,-8,65,1,1
433,19/08/24,1,570,458,-67,45,-31,31,3,1
434,19/08/24,1,84,388,-252,25,20,116,3,1
435,19/08/24,2,36,-82,151,-72,-33,116,3,1
436,19/08/24,2,141,290,43,-101,16,2,3,1
437,19/08/24,1,183,218,95,-99,-48,67,3,1
438,19/08/24,2,232,4,-64,-52,25,94,3,1
439,19/08/24,1,556,-101,-12,-6,-46,17,3,1
440,19/08/24,1,586,376,226,-89,17,96,3,1
441,19/08/24,2,360,392,-82,-2,-37,5,3,1
442,19/08/24,1,179,-62,67,-53,-35,29,3,1
443,19/08/24,1,-42,-231,13,-73,-28,72,3,1
444,19/08/24,1,320,-216,62,-81,30,29,3,1
445,19/08/24,2,68,372,-172,-8,43,83,3,1
446,19/08/24,2,-75,189,178,-15,23,33,3,1
447,19/08/24,1,421,263,87,-9,-33,72,3,1
448,19/08/24,2,271,441,85,43,-48,16,3,1
449,19/08/24,1,102,289,124,-85,-53,12,3,1
450,19/08/24,1,468,128,-161,30,37,32,2,1
451,19/08/24,1,422,-190,77,-9,19,4,2,1
452,19/08/24,2,62,286,-115,-24,-1,82,2,1
453,19/08/24,1,416,-39,69,-117,11,74,2,1
454,19/08/24,2,303,71,89,-10,-36,5,2,1
455,19/08/24,2,88,271,-77,-14,-15,71,2,1
456,19/08/24,1,609,292,229,-1,-35,61,2,1
457,19/08/24,2,521,103,-178,-119,39,32,2,1
458,19/08/24,1,59,276,-118,22,-19,82,2,1
459,19/08/24,2,314,39,-142,17,-46,109,2,1
460,19/08/24,2,383,-166,205,-69,12,22,2,1
461,19/08/24,2,161,65,58,-53,-55,18,2,1
462,19/08/24,2,526,262,-115,-27,12,103,3,1
463,19/08/24,1,-148,-183,-159,25,-55,87,1,1
464,19/08/24,2,8,78,-209,44,43,90,1,1
465,19/08/24,1,537,423,49,-79,-20,83,1,1
466,19/08/24,1,548,157,-170,22,-26,59,3,1
467,19/08/24,2,259,342,210,-18,-18,98,3,1
468,19/08/24,1,550,-54,-146,28,2,81,3,3
469,19/08/24,2,400,272,59,49,-34,6,3,3
470,19/08/24,2,526,421,-127,4,1,23,3,3
471,19/08/24,2,388,59,72,52,38,23,2,3
472,19/08/24,2,82,-138,-52,47,20,38,0,3
473,19/08/24,2,435,-104,118,-78,15,93,1,0
474,19/08/24,1,281,-103,-194,-8,34,41,1,3
475,19/08/24,1,306,313,121,0,-30,73,2,3
476,19/08/24,2,90,-214,137,-13,-50,27,2,0
477,19/08/24,1,539,323,-199,-37,20,60,1,3
478,19/08/24,2,93,-218,60,14,-32,33,0,3
479,19/08/24,2,398,273,-138,-51,-1,17,0,3
480,19/08/24,2,415,109,-227,3,-43,102,0,3
481,19/08/24,1,513,92,143,25,44,21,1,3
482,19/08/24,2,534,267,-249,-66,44,16,1,3
483,19/08/24,2,92,477,-121,-99,34,4,1,2
484,19/08/24,2,594,-71,197,-90,-41,87,1,1
485,19/08/24,2,466,85,-55,-71,-6,57,1,0
486,19/08/24,2,-48,410,-93,-103,0,26,1,0
487,19/08/24,1,387,356,-86,-76,23,40,3,0
488,19/08/24,2,534,-105,-92,-107,-27,76,1,0
489,19/08/24,1,550,313,-51,10,-13,71,1,0
